W,S,M,L,horizon,factor,ic,t_nw
40,6,3,8,1M,distance,0.013516959959194082,0.8214314638858018
40,6,3,8,1M,ne_score,-0.0336996336996337,-2.065966546732451
40,6,3,8,3M,distance,0.009347714432460198,0.33975945093245913
40,6,3,8,3M,ne_score,-0.029102578289255283,-1.4587828948260773
40,6,3,10,1M,distance,0.013516959959194082,0.8214314638858018
40,6,3,10,1M,ne_score,-0.03687174407513391,-2.318138658871033
40,6,3,10,3M,distance,0.009347714432460198,0.33975945093245913
40,6,3,10,3M,ne_score,-0.024927038309505337,-1.2286066109593865
40,6,4,8,1M,distance,0.008180193976518632,0.4969335848600019
40,6,4,8,1M,ne_score,-0.03394186003885773,-2.081737178968135
40,6,4,8,3M,distance,0.00795425340529427,0.29101088825511134
40,6,4,8,3M,ne_score,-0.028532668881506084,-1.4270044026466504
40,6,4,10,1M,distance,0.008180193976518632,0.4969335848600019
40,6,4,10,1M,ne_score,-0.0375408451738444,-2.3045512789511773
40,6,4,10,3M,distance,0.00795425340529427,0.29101088825511134
40,6,4,10,3M,ne_score,-0.022467465246968348,-1.0353633161881746
40,6,6,8,1M,distance,0.00380879345603272,0.23075676831189518
40,6,6,8,1M,ne_score,-0.031093732789954837,-1.8927300190441392
40,6,6,8,3M,distance,0.004504504504504506,0.16629550022782638
40,6,6,8,3M,ne_score,-0.030251774622892632,-1.3766067442782763
40,6,6,10,1M,distance,0.00380879345603272,0.23075676831189518
40,6,6,10,1M,ne_score,-0.03557087699944843,-2.10644264489138
40,6,6,10,3M,distance,0.004504504504504506,0.16629550022782638
40,6,6,10,3M,ne_score,-0.029741538917277648,-1.312266360589379
40,10,3,8,1M,distance,-0.0030023094688221698,-0.17700712377908823
40,10,3,8,1M,ne_score,-0.029848518354710307,-1.6985162831594918
40,10,3,8,3M,distance,-0.0009043927648578848,-0.033048831782421025
40,10,3,8,3M,ne_score,-0.017355157183684074,-0.7207201809688133
40,10,3,10,1M,distance,-0.0030023094688221698,-0.17700712377908823
40,10,3,10,1M,ne_score,-0.024987080103359167,-1.4206322644797258
40,10,3,10,3M,distance,-0.0009043927648578848,-0.033048831782421025
40,10,3,10,3M,ne_score,-0.016542135980075093,-0.6611979789308904
40,10,4,8,1M,distance,-0.0071006676938880344,-0.4203907485504144
40,10,4,8,1M,ne_score,-0.03148906347976836,-1.79795078072141
40,10,4,8,3M,distance,0.00010343935867597584,0.00381413730688349
40,10,4,8,3M,ne_score,-0.016536661466458664,-0.6717959365182519
40,10,4,10,1M,distance,-0.0071006676938880344,-0.4203907485504144
40,10,4,10,1M,ne_score,-0.02557168716982526,-1.4821989674312313
40,10,4,10,3M,distance,0.00010343935867597584,0.00381413730688349
40,10,4,10,3M,ne_score,-0.01851748511904762,-0.7344095280949898
40,10,6,8,1M,distance,-0.01336162551440329,-0.7833596550371718
40,10,6,8,1M,ne_score,-0.025307547378920537,-1.4383700025221355
40,10,6,8,3M,distance,0.0005698005698005678,0.021057986940580795
40,10,6,8,3M,ne_score,-0.01350632440476191,-0.5363368951105867
40,10,6,10,1M,distance,-0.01336162551440329,-0.7833596550371718
40,10,6,10,1M,ne_score,-0.023145373145373144,-1.3249762376349925
40,10,6,10,3M,distance,0.0005698005698005678,0.021057986940580795
40,10,6,10,3M,ne_score,-0.01299090841344362,-0.5020310342041675
52,6,3,8,1M,distance,0.004143718856543403,0.24516679486071405
52,6,3,8,1M,ne_score,-0.03529987944544906,-2.159278329850418
52,6,3,8,3M,distance,0.021156893819334388,0.7219633622219314
52,6,3,8,3M,ne_score,-0.023430089167140955,-1.1314765947408736
52,6,3,10,1M,distance,0.004143718856543403,0.24516679486071405
52,6,3,10,1M,ne_score,-0.026703645007923927,-1.6541495016399372
52,6,3,10,3M,distance,0.021156893819334388,0.7219633622219314
52,6,3,10,3M,ne_score,-0.018297039486185534,-0.824913983750091
52,6,4,8,1M,distance,0.0005905511811023636,0.03472010152574143
52,6,4,8,1M,ne_score,-0.02879953248124269,-1.758987960820771
52,6,4,8,3M,distance,0.0169310071371927,0.5853795609069682
52,6,4,8,3M,ne_score,-0.02116845143160933,-1.01880302735994
52,6,4,10,1M,distance,0.0005905511811023636,0.03472010152574143
52,6,4,10,1M,ne_score,-0.03250821343604848,-1.98838304154355
52,6,4,10,3M,distance,0.0169310071371927,0.5853795609069682
52,6,4,10,3M,ne_score,-0.015677772706526705,-0.7150529486855322
52,6,6,8,1M,distance,-0.004876445846477395,-0.2835638729979067
52,6,6,8,1M,ne_score,-0.025782636607378877,-1.56596807382389
52,6,6,8,3M,distance,0.014019062748212872,0.4906207349055361
52,6,6,8,3M,ne_score,-0.013479385364369387,-0.610400585473614
52,6,6,10,1M,distance,-0.004876445846477395,-0.2835638729979067
52,6,6,10,1M,ne_score,-0.02858088429970876,-1.6922271660282884
52,6,6,10,3M,distance,0.014019062748212872,0.4906207349055361
52,6,6,10,3M,ne_score,-0.011123809523809524,-0.4883463050918097
52,10,3,8,1M,distance,-0.0019530219055159666,-0.11139276829639463
52,10,3,8,1M,ne_score,-0.021098726114649684,-1.1667497982319401
52,10,3,8,3M,distance,0.021810207336523127,0.7411279092925149
52,10,3,8,3M,ne_score,-0.005938060869897278,-0.23474073543870644
52,10,3,10,1M,distance,-0.0019530219055159666,-0.11139276829639463
52,10,3,10,1M,ne_score,-0.015667957773220928,-0.8493811102901117
52,10,3,10,3M,distance,0.021810207336523127,0.7411279092925149
52,10,3,10,3M,ne_score,-0.008307515777395297,-0.33461085904182397
52,10,4,8,1M,distance,-0.0023507659799260447,-0.13409579792435486
52,10,4,8,1M,ne_score,-0.02127679757161829,-1.1709548332676327
52,10,4,8,3M,distance,0.02154828411811652,0.7398031745690917
52,10,4,8,3M,ne_score,-0.003269510051211495,-0.13095146711320643
52,10,4,10,1M,distance,-0.0023507659799260447,-0.13409579792435486
52,10,4,10,1M,ne_score,-0.016290426785239235,-0.8910430759690979
52,10,4,10,3M,distance,0.02154828411811652,0.7398031745690917
52,10,4,10,3M,ne_score,-0.004712142091563312,-0.19201469666549814
52,10,6,8,1M,distance,-0.0076455026455026455,-0.4288178014783319
52,10,6,8,1M,ne_score,-0.022749211416410144,-1.236780575746625
52,10,6,8,3M,distance,0.024220623501199037,0.8422762844862098
52,10,6,8,3M,ne_score,-0.005246133823304241,-0.21046362975422553
52,10,6,10,1M,distance,-0.0076455026455026455,-0.4288178014783319
52,10,6,10,1M,ne_score,-0.022153705606943023,-1.1890912231055497
52,10,6,10,3M,distance,0.024220623501199037,0.8422762844862098
52,10,6,10,3M,ne_score,-0.011828080668660384,-0.47064004239635
65,6,3,8,1M,distance,0.020319264069264067,1.1220635670847958
65,6,3,8,1M,ne_score,-0.0224684159378037,-1.3077526386499894
65,6,3,8,3M,distance,0.03469610248023985,1.1394747157412597
65,6,3,8,3M,ne_score,-0.02154801065162907,-1.0198981961209654
65,6,3,10,1M,distance,0.020319264069264067,1.1220635670847958
65,6,3,10,1M,ne_score,-0.009074095705330371,-0.525312400366432
65,6,3,10,3M,distance,0.03469610248023985,1.1394747157412597
65,6,3,10,3M,ne_score,-0.019133913862085197,-0.845287308794622
65,6,4,8,1M,distance,0.02076902247495261,1.1330211024503822
65,6,4,8,1M,ne_score,-0.023113134142545913,-1.359712030754175
65,6,4,8,3M,distance,0.035706492089470805,1.1693774704721296
65,6,4,8,3M,ne_score,-0.0198687046835195,-0.9319398855415045
65,6,4,10,1M,distance,0.02076902247495261,1.1330211024503822
65,6,4,10,1M,ne_score,-0.019844517184942716,-1.1264457271121984
65,6,4,10,3M,distance,0.035706492089470805,1.1693774704721296
65,6,4,10,3M,ne_score,-0.023301142386055823,-1.006353359159195
65,6,6,8,1M,distance,0.021928397070789255,1.170374378498217
65,6,6,8,1M,ne_score,-0.019232717636972957,-1.1106302598888078
65,6,6,8,3M,distance,0.03879781420765027,1.2829755688124578
65,6,6,8,3M,ne_score,-0.020309739724414085,-0.875411331540178
65,6,6,10,1M,distance,0.021928397070789255,1.170374378498217
65,6,6,10,1M,ne_score,-0.0124824355971897,-0.6847087914419746
65,6,6,10,3M,distance,0.03879781420765027,1.2829755688124578
65,6,6,10,3M,ne_score,-0.02174314812630254,-0.9161276682089566
65,10,3,8,1M,distance,0.023488562091503268,1.2617185302827434
65,10,3,8,1M,ne_score,-0.011233712877098252,-0.5993798177647265
65,10,3,8,3M,distance,0.057064471879286705,1.8925534909486175
65,10,3,8,3M,ne_score,-0.0200685903500473,-0.8115447068805077
65,10,3,10,1M,distance,0.023488562091503268,1.2617185302827434
65,10,3,10,1M,ne_score,-0.012010582010582013,-0.6304549208246124
65,10,3,10,3M,distance,0.057064471879286705,1.8925534909486175
65,10,3,10,3M,ne_score,-0.030245597409776514,-1.1559726857598989
65,10,4,8,1M,distance,0.023235213954756067,1.2533350981831723
65,10,4,8,1M,ne_score,-0.011053023182957391,-0.5845655893645015
65,10,4,8,3M,distance,0.0578116419549698,1.919107971000269
65,10,4,8,3M,ne_score,-0.020519193592930134,-0.8207844981935545
65,10,4,10,1M,distance,0.023235213954756067,1.2533350981831723
65,10,4,10,1M,ne_score,-0.00533654977641798,-0.28094708767901044
65,10,4,10,3M,distance,0.0578116419549698,1.919107971000269
65,10,4,10,3M,ne_score,-0.025734044655206487,-0.972133524041254
65,10,6,8,1M,distance,0.01855036855036855,0.9930605472236276
65,10,6,8,1M,ne_score,-0.003879344159410058,-0.1990686497691289
65,10,6,8,3M,distance,0.05474422442244224,1.8434259524045722
65,10,6,8,3M,ne_score,-0.0197964829085161,-0.7639549081855992
65,10,6,10,1M,distance,0.01855036855036855,0.9930605472236276
65,10,6,10,1M,ne_score,-0.005535910733930534,-0.2865516056041755
65,10,6,10,3M,distance,0.05474422442244224,1.8434259524045722
65,10,6,10,3M,ne_score,-0.02496734354589716,-0.9174194770118536
