date,nav,invested_pct,daily_log_ret,risk_on,peak_nav,holdings
2026-07-29,10000.0,100.0,0.0,True,10000.0,"WBD, HD, IBKR, ERIE, EXPE"
2026-07-30,9813.62,100.0,0.0,True,10000.0,"WBD, HD, IBKR, ERIE, EXPE"
2026-07-31,9896.8,100.0,0.00843969,True,10000.0,"WBD, HD, IBKR, ERIE, EXPE"
2026-08-01,9896.8,100.0,0.0,True,10000.0,"WBD, HD, IBKR, ERIE, EXPE"
2026-08-03,9901.42,100.0,0.0,True,10000.0,"WBD, HD, IBKR, ERIE, EXPE"
2026-08-04,10103.02,100.0,0.0201558,True,10103.02,"WBD, HD, IBKR, ERIE, EXPE"
2026-08-05,10250.83,100.0,0.01452432,True,10250.83,"WBD, HD, IBKR, ERIE, EXPE"
2026-08-06,10107.25,100.0,-0.00227448,True,10250.83,"TMUS, AVB, ZBRA, SPGI, CHD, NTRS, HPQ, GIS, WELL, PSKY, BBY, NKE"
2026-08-07,10099.27,100.0,-0.00079,True,10250.83,"TMUS, AVB, ZBRA, SPGI, CHD, NTRS, HPQ, GIS, WELL, PSKY, BBY, NKE"
2026-08-10,10258.68,100.0,0.01566101,True,10258.68,"TMUS, AVB, ZBRA, SPGI, CHD, NTRS, HPQ, GIS, WELL, PSKY, BBY, NKE"
2026-08-11,10217.83,100.0,-0.00398969,True,10258.68,"TMUS, AVB, ZBRA, SPGI, CHD, NTRS, HPQ, GIS, WELL, PSKY, BBY, NKE"
2026-08-12,10217.35,100.0,-4.704e-05,True,10258.68,"TMUS, AVB, ZBRA, SPGI, CHD, NTRS, HPQ, GIS, WELL, PSKY, BBY, NKE"
2026-08-13,10465.95,100.0,0.0240402,True,10465.95,"TMUS, AVB, ZBRA, SPGI, CHD, NTRS, HPQ, GIS, WELL, PSKY, BBY, NKE"
2026-08-14,10442.68,100.0,-0.00222613,True,10465.95,"TMUS, AVB, ZBRA, SPGI, CHD, NTRS, HPQ, GIS, WELL, PSKY, BBY, NKE"
2026-08-17,10295.11,100.0,-0.01423229,True,10465.95,"TMUS, AVB, ZBRA, SPGI, CHD, NTRS, HPQ, GIS, WELL, PSKY, BBY, NKE"
2026-08-18,10389.33,100.0,0.00911057,True,10465.95,"TMUS, AVB, ZBRA, SPGI, CHD, NTRS, HPQ, GIS, WELL, PSKY, BBY, NKE"
