metric,mean,p50,p90,p95,p99,n_sims
straightness_mean,0.7692914523357348,0.7692717763298196,0.7759554637575715,0.7774070200346612,0.7804946419748708,500
quadrant_run_median,8.393,8.0,9.0,9.0,9.0,500
quadrant_run_p90,22.108200000000004,22.0,23.0,23.0,24.0,500
occupancy_Leading,0.24371682340647857,0.2441657958899338,0.2546238244514107,0.25879919888540576,0.2662852664576803,500
occupancy_Weakening,0.2357086381051898,0.2363723441309648,0.2471264367816092,0.25070968303726926,0.2564489724834553,500
occupancy_Lagging,0.2589153605015674,0.25844653430860326,0.2701236502960641,0.27265325670498086,0.2807497387669801,500
occupancy_Improving,0.26165917798676425,0.2614071752002787,0.27491292232671544,0.27813479623824455,0.28396290491118076,500
ne_score_mean,0.0010550958356230966,0.0010548531502513287,0.015842636483874364,0.019172301193328307,0.023798455349530016,500
flat_share,0.047452455590386626,0.04745733194009056,0.04771856495994427,0.04780564263322884,0.047979797979797977,500
baseline_hit_1M,0.49442836676217766,0.4946673034065584,0.49960999681630053,0.5009551098376314,0.503111270296084,500
ic_distance_1M,0.000683128583128583,0.0007644007644007638,0.026266721266721263,0.031438711438711436,0.04454217854217855,500
t_distance_1M,0.040496945518097134,0.04520122957939899,1.5359446435900042,1.8655179523209602,2.6010978931364446,500
ic_delta_distance_1M,-0.0006234241673548035,-0.0003853564547206152,0.023934764657308014,0.029990366088631957,0.04089113680154138,500
t_delta_distance_1M,-0.03512436601362834,-0.02354630253831412,1.4124956225141114,1.7941705914799633,2.5535641136788354,500
ic_ne_score_1M,-0.0021876355492692124,-0.0027021452145214527,0.020173267326732674,0.02777728665723713,0.03758462989156058,500
t_ne_score_1M,-0.13347769819556285,-0.16881803760777891,1.2257279399153356,1.6644445828228371,2.300521713834335,500
ic_straightness_1M,-0.00019587458745874594,0.00044691969196919716,0.02102722772277228,0.028061056105610542,0.03709378437843784,500
t_straightness_1M,-0.01324908187778752,0.02875608221910855,1.3556271533255335,1.808368197220235,2.426843233773537,500
ic_tail_r2_1M,0.0004992849284928495,-7.56325632563272e-05,0.021448019801980196,0.027191969196919654,0.03635327282728271,500
t_tail_r2_1M,0.02695422181978493,-0.00483485791990703,1.3368971229637767,1.6187292161666287,2.3474808819051876,500
ic_quadrant_run_1M,-0.0005173094736821164,-0.0006728888624426511,0.020300580771594523,0.0254779814465223,0.03674899264800844,500
t_quadrant_run_1M,-0.03494423357791662,-0.042972976732610024,1.2854203723507098,1.674742911557264,2.392256236327745,500
max_abs_t_1M,1.7412186647674641,1.6546044158223516,2.596084572770642,2.868484349832338,3.3549388793681656,500
hit_Leading_1M,0.4939343719419462,0.49363746580896606,0.5127999689979559,0.5181837293750399,0.524737981580597,500
hit_Weakening_1M,0.49511626144954657,0.49510478167514693,0.5140890660939774,0.5190414022452817,0.5320495674122642,500
hit_Lagging_1M,0.49470293175724506,0.4951613423964117,0.5116640564097171,0.5163144387993965,0.5235151356426349,500
hit_Improving_1M,0.49433374444781963,0.49421192900958844,0.5135403237453443,0.5189001918587839,0.5296968283594675,500
hit_spread_Lead_minus_Lag_1M,-0.0007685598152988063,-0.00014440032967114047,0.028035969577217316,0.037302960634939666,0.04646034334283469,500
dist_decile_spread_1M,8.805217224197744e-05,1.648067688037878e-05,0.0036035949679726746,0.004656081125397389,0.006904532484389911,500
baseline_hit_3M,0.4899112392854282,0.49026676279740444,0.4980453416646639,0.5005207081631018,0.5036457582311944,500
ic_distance_3M,0.0017088833883388338,0.0004469196919691987,0.04225797579757976,0.0539040154015401,0.08089865236523651,500
t_distance_3M,0.06510691130752158,0.016387294299963738,1.5165647709805283,1.9685288441786695,3.4308451785132874,500
ic_delta_distance_3M,-0.001231752634498059,-0.002572102052135334,0.03509567387687188,0.04310246810870768,0.05851428175263447,500
t_delta_distance_3M,-0.04865385804072356,-0.11052766382788262,1.42723693853216,1.8083441230310275,2.5227053815367646,500
ic_ne_score_3M,-0.00043531647072794235,-0.0001682302181055285,0.028555001385425334,0.039569528559553424,0.051696235601472504,500
t_ne_score_3M,-0.021205407681655814,-0.007517616173009825,1.3028487318523916,1.8159951267814605,2.3235956388187957,500
ic_straightness_3M,0.00014447215295095614,5.541701302299565e-05,0.023002216680520927,0.030633832086450534,0.03921848157384315,500
t_straightness_3M,0.0073641158852456754,0.0031464628046023106,1.291754787942214,1.704324848222282,2.040310763064472,500
ic_tail_r2_3M,0.000706068162926018,-0.0004225547243003606,0.02516209476309227,0.03221183153228041,0.04332889997229149,500
t_tail_r2_3M,0.039532427640619074,-0.021407773091622895,1.3344166263053792,1.6279013231870327,2.34024124590272,500
ic_quadrant_run_3M,-0.001048169001697992,-0.001694629424273585,0.025776286059876283,0.032811902231344205,0.0524679458383339,500
t_quadrant_run_3M,-0.04628891424378307,-0.07490995405178552,1.1963751039970156,1.5545951275119465,2.513655544994991,500
