date,n_sectors_winning,n_sectors_declining,n_long_candidates,n_short_candidates,n_long_used,n_short_used,long_frac,short_frac,gross,state,turnover_long,turnover_short,longs,shorts
2004-01-02,6,3,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-01-09,6,3,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-01-16,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-01-23,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-01-30,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-02-06,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-02-13,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-02-20,3,6,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-02-27,2,7,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-03-05,2,7,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-03-12,3,6,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-03-19,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-03-26,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-04-02,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-04-09,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-04-16,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-04-23,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-04-30,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-05-07,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-05-14,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-05-21,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-05-28,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-06-04,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-06-11,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-06-18,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-06-25,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-07-02,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-07-09,3,6,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-07-16,3,6,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-07-23,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-07-30,3,6,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-08-06,2,7,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-08-13,3,6,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-08-20,3,6,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-08-27,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-09-03,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-09-10,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-09-17,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-09-24,3,6,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-10-01,3,6,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-10-08,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-10-15,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-10-22,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-10-29,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-11-05,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-11-12,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-11-19,3,6,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-11-26,3,6,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-12-03,3,6,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-12-10,3,6,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-12-17,3,6,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-12-24,3,6,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2004-12-31,3,6,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-01-07,3,6,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-01-14,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-01-21,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-01-28,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-02-04,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-02-11,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-02-18,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-02-25,3,6,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-03-04,3,6,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-03-11,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-03-18,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-03-25,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-04-01,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-04-08,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-04-15,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-04-22,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-04-29,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-05-06,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-05-13,3,6,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-05-20,3,6,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-05-27,3,6,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-06-03,3,6,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-06-10,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-06-17,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-06-24,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-07-01,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-07-08,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-07-15,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-07-22,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-07-29,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-08-05,3,6,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-08-12,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-08-19,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-08-26,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-09-02,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-09-09,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-09-16,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-09-23,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-09-30,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-10-07,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-10-14,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-10-21,6,3,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-10-28,6,3,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-11-04,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-11-11,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-11-18,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-11-25,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-12-02,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-12-09,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-12-16,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-12-23,6,3,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2005-12-30,6,3,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-01-06,6,3,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-01-13,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-01-20,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-01-27,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-02-03,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-02-10,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-02-17,6,3,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-02-24,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-03-03,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-03-10,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-03-17,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-03-24,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-03-31,6,3,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-04-07,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-04-14,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-04-21,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-04-28,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-05-05,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-05-12,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-05-19,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-05-26,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-06-02,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-06-09,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-06-16,6,3,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-06-23,6,3,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-06-30,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-07-07,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-07-14,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-07-21,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-07-28,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-08-04,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-08-11,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-08-18,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-08-25,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-09-01,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-09-08,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-09-15,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-09-22,5,4,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-09-29,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-10-06,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-10-13,3,6,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-10-20,4,5,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-10-27,3,6,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-11-03,3,6,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-11-10,3,6,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-11-17,3,6,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
2006-11-24,2,7,0,0,0,0,0.0,0.0,0.0,flat,0.0,0.0,,
